,Date,Location,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct
137,12/08/2021,RP,73.7,86.2
138,12/08/2021,GU,74.0,81.9
139,12/08/2021,MT,52.6,60.6
140,12/08/2021,MH,28.7,32.7
141,12/08/2021,DC,65.6,83.5
142,12/08/2021,WI,60.4,66.5
143,12/08/2021,NH,65.3,90.1
144,12/08/2021,MA,72.4,87.1
145,12/08/2021,WA,66.2,73.7
146,12/08/2021,RI,74.1,84.7
147,12/08/2021,VA,66.3,76.7
148,12/08/2021,PR,74.8,86.0
149,12/08/2021,CO,64.4,72.4
150,12/08/2021,AZ,55.5,65.2
151,12/08/2021,IA,57.6,63.3
152,12/08/2021,ID,45.6,51.2
153,12/08/2021,GA,49.7,59.7
154,12/08/2021,US,60.4,71.4
155,12/08/2021,SD,55.5,68.3
156,12/08/2021,IL,62.6,70.2
157,12/08/2021,TN,50.1,57.5
158,12/08/2021,NC,55.1,72.0
159,12/08/2021,VI,49.5,57.5
160,12/08/2021,VA2,0.0,0.0
161,12/08/2021,IH2,38.2,47.9
162,12/08/2021,KY,53.0,61.0
163,12/08/2021,AR,50.0,61.3
164,12/08/2021,IN,51.1,56.4
165,12/08/2021,MI,55.4,61.9
166,12/08/2021,MS,47.4,54.5
167,12/08/2021,WV,69.0,86.7
168,12/08/2021,NY,69.3,79.7
169,12/08/2021,VT,74.4,86.6
170,12/08/2021,CA,64.2,80.0
171,12/08/2021,NV,55.1,67.2
172,12/08/2021,FM,41.7,46.9
173,12/08/2021,ME,73.5,83.1
174,12/08/2021,PA,59.6,83.1
175,12/08/2021,AS,66.7,79.9
176,12/08/2021,WY,46.3,54.5
177,12/08/2021,SC,52.0,61.1
178,12/08/2021,DE,62.4,74.2
179,12/08/2021,MO,51.8,60.6
180,12/08/2021,NE,58.3,64.8
181,12/08/2021,OK,52.2,63.8
182,12/08/2021,LA,49.3,56.1
183,12/08/2021,HI,61.9,83.0
184,12/08/2021,ND,49.5,58.8
185,12/08/2021,CT,73.0,85.3
186,12/08/2021,MD,68.7,77.9
187,12/08/2021,BP2,0.0,0.0
188,12/08/2021,OR,64.9,72.2
189,12/08/2021,TX,55.5,64.9
190,12/08/2021,AK,55.1,63.7
191,12/08/2021,NJ,68.8,80.4
192,12/07/2021,AL,46.6,57.2
193,12/07/2021,AK,55.0,63.6
194,12/07/2021,KY,52.9,60.9
195,12/07/2021,VI,49.4,57.4
196,12/07/2021,MT,52.5,60.5
197,12/07/2021,HI,61.8,82.9
198,12/07/2021,DC,65.4,83.2
199,12/07/2021,NJ,68.7,80.3
200,12/07/2021,MD,68.6,77.8
201,12/07/2021,AZ,55.4,65.1
202,12/07/2021,TN,50.0,57.4
203,12/07/2021,WY,46.2,54.4
204,12/07/2021,DE,61.9,73.5
205,12/07/2021,NH,65.2,89.8
206,12/07/2021,MI,55.3,61.8
207,12/07/2021,KS,55.3,67.0
208,12/07/2021,BP2,0.0,0.0
209,12/07/2021,ND,49.4,58.7
210,12/07/2021,GA,49.6,59.6
211,12/07/2021,OR,64.8,72.1
212,12/07/2021,IL,62.5,70.0
213,12/07/2021,AS,66.7,79.9
214,12/07/2021,NY,69.2,79.5
215,12/07/2021,PA,59.4,82.9
216,12/07/2021,MP,71.5,79.3
217,12/07/2021,MS,47.4,54.5
218,12/07/2021,AR,49.8,61.1
219,12/07/2021,NV,55.1,67.2
220,12/07/2021,SC,52.0,61.0
221,12/07/2021,FM,41.7,46.8
222,12/07/2021,MH,28.7,32.7
223,12/07/2021,IA,57.5,63.2
224,12/07/2021,CA,64.1,79.8
225,12/07/2021,US,60.1,71.2
226,12/07/2021,ID,45.5,51.2
227,12/07/2021,TX,55.4,64.8
228,12/07/2021,OH,53.7,59.0
229,12/07/2021,CO,64.3,72.3
230,12/07/2021,WV,49.2,69.4
231,12/07/2021,IN,51.0,56.3
232,12/07/2021,OK,52.1,63.7
233,12/07/2021,VT,74.2,86.6
234,12/07/2021,PR,74.7,85.8
235,12/07/2021,IH2,38.2,47.7
236,12/07/2021,UT,56.2,65.3
237,12/07/2021,WA,66.1,73.6
238,12/07/2021,MA,72.3,87.0
239,12/07/2021,RP,73.7,86.2
240,12/07/2021,MO,51.7,60.5
241,12/07/2021,SD,55.5,68.2
242,12/07/2021,VA,66.1,76.5
243,12/07/2021,CT,72.9,85.1
244,12/07/2021,NC,55.0,71.8
245,12/07/2021,RI,73.9,84.6
246,12/07/2021,NE,58.3,64.8
247,12/07/2021,DD2,0.0,0.0
248,12/07/2021,FL,62.0,72.5
249,12/07/2021,ME,73.3,83.0
250,12/07/2021,NM,64.3,77.7
251,12/07/2021,GU,73.8,81.7
252,12/07/2021,VA2,0.0,0.0
253,12/07/2021,LA,49.2,56.1
254,12/07/2021,WI,60.3,66.4
255,12/07/2021,MN,63.5,69.7
256,12/06/2021,FM,41.6,46.8
257,12/06/2021,TX,55.3,64.7
258,12/06/2021,HI,61.7,82.8
259,12/06/2021,DD2,0.0,0.0
260,12/06/2021,MN,63.4,69.7
261,12/06/2021,KY,52.8,60.9
262,12/06/2021,AL,46.5,57.1
263,12/06/2021,AR,49.8,61.1
264,12/06/2021,NY,69.2,79.4
265,12/06/2021,WA,65.5,73.4
266,12/06/2021,CT,72.8,85.0
267,12/06/2021,FL,62.0,72.5
268,12/06/2021,OK,52.1,63.6
269,12/06/2021,NJ,68.5,80.1
270,12/06/2021,ME,72.9,82.8
271,12/06/2021,NH,65.2,89.6
272,12/06/2021,VA2,0.0,0.0
273,12/06/2021,UT,55.9,65.1
274,12/06/2021,OH,53.7,58.9
275,12/06/2021,CA,64.0,79.8
276,12/06/2021,AS,66.7,79.9
277,12/06/2021,WV,49.2,69.3
278,12/06/2021,PR,74.6,85.8
279,12/06/2021,DE,61.9,73.5
280,12/06/2021,VA,65.9,76.4
